Guest,logKexpt,ChemPLP_Score
1,3.49,49.81
2,1.15,39.49
3,3.83,48.47
4,1.87,38.88
5,3.96,47.67
6,1.52,35.61
7,3.88,47.96
8,5.0,53.35
9,1.86,40.64
10,3.49,38.32
11,2.83,43.45
12,2.18,40.87
13,1.48,41.77
14,4.3,57.43
15,4.2,54.43
16,4.88,52.62
17,3.98,50.59
18,5.26,46.88
19,4.28,45.54
20,3.94,50.66
21,1.15,47.52
22,1.73,38.51
23,2.11,39.26
24,2.62,40.55
25,3.32,44.58
26,3.6,46.56
27,4.04,46.04
28,5.15,53.94
29,6.08,59.72
30,5.18,62.76
31,-1.0,62.48
32,-1.0,64.03
33,-1.0,58.15
34,-1.0,47.3
35,-1.0,45.61
36,4.3,49.32
37,4.9,53.86
38,4.3,57.79
39,4.0,49.12
40,1.95,45.94
41,2.08,53.28
42,-1.0,54.68
43,3.7,43.31
44,3.6,44.45
45,3.6,42.13
46,3.48,45.25
47,1.78,49.63
48,3.6,46.59
49,2.41,46.87
50,2.3,44.66
51,0.48,40.7
52,0.7,42.4
53,0.9,39.14
54,0.7,46.49
